age,brand,buildable,category,color,condition,description,energy_grade,fees_included,first_posted,floors,ghg_grade,icon,images,indoor_area,last_updated,latitude,leverage_rating,location,longitude,make,model,outdoor_area,postal_code,price,price_new,price_per_square_meter,reposting_count,rooms,starting_price,summary,time_to_work,title,url,user_rating,value_rating,vendor
14,,,Appartement,,,"a louer duplex de 90m2 disposant de : au rez-de-chaussee : -cuisine equipee -salon/sejour -1 chambre -1 salle de bains avec baignoire a l’etage : -1 grande mezzanine (chambre ou bureau) -1 grande chambre l’appartement dispose en plus d’une cave et d’un emplacement de parking privatif. un jardin commun est a disposition a l’arriere de l’immeuble. chauffage gaz double vitrage pvc avec volets roulants loyer : 500€/mois charges : 33€/mois (ordures, electricite des communs et entretien chaudiere compris)",c,,2020-07-04T19:54:00,,d,veterinary,"https://img2.leboncoin.fr/ad-large/e572395df2cef69ca9d041d134b355ba5858dd0c.jpg, https://img0.leboncoin.fr/ad-large/b1df26a1a56ca318c156f8603a6ba8d3ce6b638b.jpg, https://img6.leboncoin.fr/ad-large/b36772fd1407d1a4553487cf03a297bfde6542f3.jpg, https://img2.leboncoin.fr/ad-large/e572395df2cef69ca9d041d134b355ba5858dd0c.jpg, https://img0.leboncoin.fr/ad-large/b1df26a1a56ca318c156f8603a6ba8d3ce6b638b.jpg, https://img6.leboncoin.fr/ad-large/b36772fd1407d1a4553487cf03a297bfde6542f3.jpg, https://img2.leboncoin.fr/ad-large/e572395df2cef69ca9d041d134b355ba5858dd0c.jpg",90,2020-07-04T19:54:00,49.2128736,5,auboue,5.9750234,,,,54580,533,,5.92222222222222,0,4,533,"price: <i >533</i> €<br />indoor area: <i >90</i> m²<br />outdoor area: <i >90</i> m²<br />rooms: <i >4</i> <br />floors: <i ></i> <br />energy grade: <i >c</i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1809867544.htm/"">leboncoin.fr</a> <br />",,duplex en centre ville,https://www.leboncoin.fr/locations/1809867544.htm/,,5,https://www.leboncoin.fr/profil/347703de-7a41-4c82-a52f-b3f5ca4b40f6/offres
5,,,Appartement,,,"bel appartement en rez de chausse, entree individuelle, situe a luneville dans immeuble calme a proximite de tous commerces. cuisine moderne equipee hotte et plaque de cuisson, ouverte sur un grand sejour. une grande chambre. salle de bain / douche, wc independant. double vitrage. volets roulants. interphone. chauffage gaz individuel. compteur d' eau individuel. cour commune, garage individuel + une place de parking. possibilite de d'installer un petit salon de jardin. classe energie et ge...",d,,2020-07-13T21:52:00,,d,veterinary,"https://img0.leboncoin.fr/ad-large/bdd911209df12ba97a83f19d9795da0f1a009cdb.jpg, https://img7.leboncoin.fr/ad-large/4d3cde5e811e291b6ae5fd1dec9db4f77bea855f.jpg, https://img5.leboncoin.fr/ad-large/31a989aa489ce2b978e3bd51d95b9a832d0f36b6.jpg, https://img0.leboncoin.fr/ad-large/bdd911209df12ba97a83f19d9795da0f1a009cdb.jpg, https://img7.leboncoin.fr/ad-large/4d3cde5e811e291b6ae5fd1dec9db4f77bea855f.jpg, https://img5.leboncoin.fr/ad-large/31a989aa489ce2b978e3bd51d95b9a832d0f36b6.jpg, https://img0.leboncoin.fr/ad-large/bdd911209df12ba97a83f19d9795da0f1a009cdb.jpg",60,2020-07-13T21:52:00,48.5916164,5,luneville,6.4919563,,,,54300,508,,8.46666666666667,0,3,508,"price: <i >508</i> €<br />indoor area: <i >60</i> m²<br />outdoor area: <i >60</i> m²<br />rooms: <i >3</i> <br />floors: <i ></i> <br />energy grade: <i >d</i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1814469215.htm/"">leboncoin.fr</a> <br />",,appartement f2,https://www.leboncoin.fr/locations/1814469215.htm/,,5,https://www.leboncoin.fr/profil/3e2f174d-1caf-42f0-8a65-8e1e06268e39/offres
0,,,Appartement,,,"f3 au 2eme etage sur 3 d’une copropriete au centre de bayon libre a partir de mi aout 2020 comprenant : - 1 entree - 1 salon sejour (19m2) - cuisine - 2 chambres (10 et 18m2) - coin bureau - dressing - salle de bain avec douche et baignoire - wc separe - chauffage electrique a inertie seche - fenetre pvc oscillo-battante avec volet roulant electrique solaire - desole il y a ni jardin ni garage, ni balcon proche toutes commodites - boulangerie - supermarche - banque - collegue - .... loyers 550€ + 40€ de charges (eau, electricite des communs, ordures menageres) impots locaux + redevance tv : environ 400€ pour un couple avec 1 enfant modalite de recuperation des charges locatives : provision avec regularisation annuelle depot de garantie : 550€ merci aux agences, aux publicites et a tous organismes ne souhaitant pas directement louer cet appartement de s'abstenir de nous contacter que ce soit par telephone, par mail ou meme par pigeon voyageur.",d,,2020-07-18T22:14:00,,b,veterinary,"https://img2.leboncoin.fr/ad-large/d7d6d6859dfd811976741fdb85332d465af0dc3a.jpg, https://img2.leboncoin.fr/ad-large/60388ab8edb165676b7240f68702be0fc9549829.jpg, https://img5.leboncoin.fr/ad-large/2b6ddc004fa54a943d88e961fad971de866fd764.jpg, https://img2.leboncoin.fr/ad-large/d7d6d6859dfd811976741fdb85332d465af0dc3a.jpg, https://img2.leboncoin.fr/ad-large/60388ab8edb165676b7240f68702be0fc9549829.jpg, https://img5.leboncoin.fr/ad-large/2b6ddc004fa54a943d88e961fad971de866fd764.jpg, https://img2.leboncoin.fr/ad-large/d7d6d6859dfd811976741fdb85332d465af0dc3a.jpg",97,2020-07-18T22:14:00,48.4773983,5,bayon,6.3147222,,,,54290,590,,6.08247422680412,0,3,590,"price: <i >590</i> €<br />indoor area: <i >97</i> m²<br />outdoor area: <i >97</i> m²<br />rooms: <i >3</i> <br />floors: <i ></i> <br />energy grade: <i >d</i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1817017011.htm/"">leboncoin.fr</a> <br />",,f3 au 2eme etage d’une copropriete au centre de bayon,https://www.leboncoin.fr/locations/1817017011.htm/,,5,https://www.leboncoin.fr/profil/d2e7dc2f-19c2-400e-9260-c38e9e324eb5/offres
0,,,Maison,,,"baisse de prix !!! baccarat : situee 29 rue des cristalleries, superbe petite maison de 3 pieces d'environ 62m2 possedant 1 jardin et 1 terrasse, comprenant entree, cuisine equipee, sejour, 2 chambres, 1 bureau, salle de bain, wc, chauffage au gaz. le loyer est de 510 € plus 30 € de charges comprenant l'eau froide et la revision des chaudieres. au calme et proche de tout commerce. visite possible immediatement avec les mesures de protection.",,,2020-07-19T00:40:00,,,veterinary,"https://img0.leboncoin.fr/ad-large/05d549dccc01dbe730cdf98bf5fac0181760adf8.jpg, https://img3.leboncoin.fr/ad-large/3188a1bdc173b511e2251d0726d5f8fe10dc3010.jpg, https://img6.leboncoin.fr/ad-large/0164f1bc6c3e6d4460b055676937dc5a4491b91a.jpg, https://img0.leboncoin.fr/ad-large/05d549dccc01dbe730cdf98bf5fac0181760adf8.jpg, https://img3.leboncoin.fr/ad-large/3188a1bdc173b511e2251d0726d5f8fe10dc3010.jpg, https://img6.leboncoin.fr/ad-large/0164f1bc6c3e6d4460b055676937dc5a4491b91a.jpg, https://img0.leboncoin.fr/ad-large/05d549dccc01dbe730cdf98bf5fac0181760adf8.jpg",62,2020-07-19T00:40:00,48.4487414,5,baccarat,6.7381417,,,,54120,510,,8.2258064516129,0,3,510,"price: <i >510</i> €<br />indoor area: <i >62</i> m²<br />outdoor area: <i >62</i> m²<br />rooms: <i >3</i> <br />floors: <i ></i> <br />energy grade: <i ></i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1817046358.htm/"">leboncoin.fr</a> <br />",,petite maison 3 pieces 62 m2,https://www.leboncoin.fr/locations/1817046358.htm/,,5,https://www.leboncoin.fr/profil/4190a163-afa0-4bac-8271-043ab9f03ed5/offres
0,,,Appartement,,,"loue t3 refait a neuf rue poincare dans residence avec gardien au deuxieme etage, comprenant salon sejour, 2 chambres, cuisine integree, salle de bains avec douche, kjb et placards de rangement, balcon donnant sur jardin, cave et parking en sous sol. loyer 670 euros + charges 120 euros comprenant eau, entretien communs et ascenseur, ordures menageres. tel 06.17.01.71.06",c,,2020-07-19T11:38:00,,d,veterinary,"https://img7.leboncoin.fr/ad-large/52634c4deaae89fc1db757e203516114f8a2b54f.jpg, https://img7.leboncoin.fr/ad-large/0d8b9edbe6cd826b7125948d7cce8fa6dc24ab67.jpg, https://img0.leboncoin.fr/ad-large/5f5edfb263b5b62e72f605a21088b265a4c455da.jpg, https://img4.leboncoin.fr/ad-large/5241b59bd80dd2ad24fc82a1983189fcbbe6b40a.jpg, https://img1.leboncoin.fr/ad-large/c10bbb64002e793747b9e3b6fac88046970e13ec.jpg, https://img7.leboncoin.fr/ad-large/52634c4deaae89fc1db757e203516114f8a2b54f.jpg, https://img7.leboncoin.fr/ad-large/0d8b9edbe6cd826b7125948d7cce8fa6dc24ab67.jpg, https://img0.leboncoin.fr/ad-large/5f5edfb263b5b62e72f605a21088b265a4c455da.jpg, https://img4.leboncoin.fr/ad-large/5241b59bd80dd2ad24fc82a1983189fcbbe6b40a.jpg, https://img1.leboncoin.fr/ad-large/c10bbb64002e793747b9e3b6fac88046970e13ec.jpg, https://img7.leboncoin.fr/ad-large/52634c4deaae89fc1db757e203516114f8a2b54f.jpg",82,2020-07-19T11:38:00,48.6937223,5,nancy,6.1834097,,,,54000,670,,8.17073170731707,0,4,670,"price: <i >670</i> €<br />indoor area: <i >82</i> m²<br />outdoor area: <i >82</i> m²<br />rooms: <i >4</i> <br />floors: <i ></i> <br />energy grade: <i >c</i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1815219238.htm/"">leboncoin.fr</a> <br />",,t3 centre nancy poincare,https://www.leboncoin.fr/locations/1815219238.htm/,,5,https://www.leboncoin.fr/
0,,,Appartement,,,"loue f3 proche place leopold 70m2 libre fin aout /debut septembre 2020 visite debut aout ou apres-demain 15 aout appartement tres fonctionnel cuisine integree avec (10m2) hotte plaque de cuisson, four 2 chambres avec dressing (10 et 13m2) salon sejour 20m2 wc separe avec lave main et placard sdb avec placard, vasque sur meuble et grande douche entree avec placard logement entierement carrele fenetres et volets pvc neufs chauffe eau electrique radiateurs electriques a inertie cours et jardinet cave de 20m2 copropriete calme de 3 logements occupes leurs proprietaires un appartement par niveau appartement au 2eme et dernier etage refuse tout demarchage commercial loyer 480€ charges (eau, evier electricite des communs, entretien jardin): entre 40 et 50€ justificatifs de revenu exiges",,,2020-07-19T13:29:00,,,veterinary,"https://img0.leboncoin.fr/ad-large/873b65dd4fe6ed0cd34175c16c71070db1fe6914.jpg, https://img7.leboncoin.fr/ad-large/8462e22e54528af47b70fc1a4b1d670caa71efd9.jpg, https://img4.leboncoin.fr/ad-large/355015dae848c7ac5c1c5097a02ae35425b14c4b.jpg, https://img0.leboncoin.fr/ad-large/873b65dd4fe6ed0cd34175c16c71070db1fe6914.jpg, https://img7.leboncoin.fr/ad-large/8462e22e54528af47b70fc1a4b1d670caa71efd9.jpg, https://img4.leboncoin.fr/ad-large/355015dae848c7ac5c1c5097a02ae35425b14c4b.jpg, https://img0.leboncoin.fr/ad-large/873b65dd4fe6ed0cd34175c16c71070db1fe6914.jpg",70,2020-07-19T13:29:00,48.5916164,5,luneville,6.4919563,,,,54300,480,,6.85714285714286,0,3,480,"price: <i >480</i> €<br />indoor area: <i >70</i> m²<br />outdoor area: <i >70</i> m²<br />rooms: <i >3</i> <br />floors: <i ></i> <br />energy grade: <i ></i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1817234687.htm/"">leboncoin.fr</a> <br />",,f3 proche place leopold,https://www.leboncoin.fr/locations/1817234687.htm/,,5,https://www.leboncoin.fr/profil/438077c7-cc15-4ad2-959e-e0d7f447aebb/offres
25,,,Appartement,,,"appartement t3 a vandoeuvre-les-nancy, dans la residence arbor et sens, nous vous proposons un appartement de type t3 n°303 de 62m2. situe au 1er etage du batiment c, il comprend un sejour de 20,40m2 avec partie cuisine amenagee ouverte sur balcon de 8,40m2, deux chambres, une salle de bains, wc independants. cellier de 2,4m2. en rez-de-jardin, un parking n°604. chauffage, eau froide et chaude, entretien parties communes et espaces verts compris dans les provisions sur charges mensuelles et donnant lieu a une regularisation annuelle. les honoraires de location ttc (a la charge du locataire) incluent le montant des honoraires de redaction des etats des lieux factures pour 186,00 euros ttc, apres realisation lors de l'entree dans les lieux. disponibilite au 23/09/2020 pour plus de details sur ce logement, vous pouvez consulter la fiche descriptive de ce bien, sur notre site internet afedim-locations. reference annonce : 0030545_gl honoraires a la charge du locataire : 682 € ttc depot de garantie : 585 € montant des charges : 75 € / mois",b,,2020-06-24T10:51:00,,a,veterinary,"https://img3.leboncoin.fr/ad-large/2f24e5ea502cfd70a4617ec78878cf896c047ca4.jpg, https://img3.leboncoin.fr/ad-large/99f8ab7effb9c21039cdfd453e70a0e7c50762f2.jpg, https://img7.leboncoin.fr/ad-large/e730df0e2c6e06da9b8d6676faecc3cbe38a36e9.jpg, https://img3.leboncoin.fr/ad-large/2f24e5ea502cfd70a4617ec78878cf896c047ca4.jpg, https://img3.leboncoin.fr/ad-large/99f8ab7effb9c21039cdfd453e70a0e7c50762f2.jpg, https://img7.leboncoin.fr/ad-large/e730df0e2c6e06da9b8d6676faecc3cbe38a36e9.jpg, https://img3.leboncoin.fr/ad-large/2f24e5ea502cfd70a4617ec78878cf896c047ca4.jpg",62,2020-06-24T10:51:00,48.6599676,5,vandoeuvre-les-nancy,6.1724618,,,,54500,660,,10.6451612903226,0,3,660,"price: <i >660</i> €<br />indoor area: <i >62</i> m²<br />outdoor area: <i >62</i> m²<br />rooms: <i >3</i> <br />floors: <i ></i> <br />energy grade: <i >b</i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1804708649.htm/"">leboncoin.fr</a> <br />",,appartement 3 pieces 62 m2,https://www.leboncoin.fr/locations/1804708649.htm/,,5,https://www.leboncoin.fr/
25,,,Appartement,,,"appartement meuble lumineux, rez de chaussee sureleve dans petit immeuble calme et de caractere avec vue sur jardin. salon, cuisine equipee, salle de bain,chambre, wc independant. chauffage electrique individuel, double vitrage, isolation. charges(eau, ordures menageres, divers....) contact uniquement par telephone.",,,2020-06-24T12:40:00,,,veterinary,"https://img5.leboncoin.fr/ad-large/850a6575f2631df384591b11096700fcf43a2bcc.jpg, https://img6.leboncoin.fr/ad-large/f2ca64caacfdad27fa9b50de5a2459dfbdd43751.jpg, https://img4.leboncoin.fr/ad-large/3fece2e26bd761af9b2db55a6a28a2023f6e66e1.jpg, https://img5.leboncoin.fr/ad-large/850a6575f2631df384591b11096700fcf43a2bcc.jpg, https://img6.leboncoin.fr/ad-large/f2ca64caacfdad27fa9b50de5a2459dfbdd43751.jpg, https://img4.leboncoin.fr/ad-large/3fece2e26bd761af9b2db55a6a28a2023f6e66e1.jpg, https://img5.leboncoin.fr/ad-large/850a6575f2631df384591b11096700fcf43a2bcc.jpg",40,2020-06-24T12:40:00,48.6937223,5,nancy,6.1834097,,,,54000,525,,13.125,0,2,525,"price: <i >525</i> €<br />indoor area: <i >40</i> m²<br />outdoor area: <i >40</i> m²<br />rooms: <i >2</i> <br />floors: <i ></i> <br />energy grade: <i ></i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1804364676.htm/"">leboncoin.fr</a> <br />",,"appartement t2 pepiniere ,ville vieille",https://www.leboncoin.fr/locations/1804364676.htm/,,5,https://www.leboncoin.fr/profil/950365f8-28fc-411c-b102-60015ff91ed1/offres
25,,,Appartement,,,"f2 meuble neuf - terrasse - villa majorelle - proche centre dans petit ensemble residentiel, immeuble sur jardin (4 lots), bel f2 meuble neuf disposant d'une terrasse de 30m2 : entree cuisine equipee salon-sejour lumineux avec grandes baies vitrees chambre salle d'eau - douche avec paroi vitree meuble vasque-wc - grande terrasse + vue sur verdure stationnement gratuit dans le quartier. libre reference annonce : 018r honoraires a la charge du locataire : 528 € ttc depot de garantie : 580 € montant des charges : 50 € / mois",a,,2020-06-24T13:08:00,,b,veterinary,"https://img3.leboncoin.fr/ad-large/7b5049186f700c501957b0de23e91b421424d34f.jpg, https://img6.leboncoin.fr/ad-large/49bfd4a6013e41b9f1c2f6ed8602598d55f354df.jpg, https://img0.leboncoin.fr/ad-large/d5e04ec404ed6a634d04ac7526701209e253183e.jpg, https://img0.leboncoin.fr/ad-large/f5de7d91c9270b57009ba61b0c38eaeeb9d484c7.jpg, https://img3.leboncoin.fr/ad-large/5c20a463ec1fd5d1bb45c50a4c67ec4766c0db12.jpg, https://img3.leboncoin.fr/ad-large/7c3594840200959e08453e80b42f8e73b9a5954d.jpg, https://img3.leboncoin.fr/ad-large/b708750f085bb6e37aab91ca032103041df4885f.jpg, https://img1.leboncoin.fr/ad-large/93a862907f144fd53285df5b4f1c6d7a4bddf7a3.jpg, https://img3.leboncoin.fr/ad-large/7b5049186f700c501957b0de23e91b421424d34f.jpg, https://img6.leboncoin.fr/ad-large/49bfd4a6013e41b9f1c2f6ed8602598d55f354df.jpg, https://img0.leboncoin.fr/ad-large/d5e04ec404ed6a634d04ac7526701209e253183e.jpg, https://img0.leboncoin.fr/ad-large/f5de7d91c9270b57009ba61b0c38eaeeb9d484c7.jpg, https://img3.leboncoin.fr/ad-large/5c20a463ec1fd5d1bb45c50a4c67ec4766c0db12.jpg, https://img3.leboncoin.fr/ad-large/7c3594840200959e08453e80b42f8e73b9a5954d.jpg, https://img3.leboncoin.fr/ad-large/b708750f085bb6e37aab91ca032103041df4885f.jpg, https://img1.leboncoin.fr/ad-large/93a862907f144fd53285df5b4f1c6d7a4bddf7a3.jpg, https://img3.leboncoin.fr/ad-large/7b5049186f700c501957b0de23e91b421424d34f.jpg",48,2020-06-24T13:08:00,48.6937223,5,nancy,6.1834097,,,,54000,670,,13.9583333333333,0,2,670,"price: <i >670</i> €<br />indoor area: <i >48</i> m²<br />outdoor area: <i >48</i> m²<br />rooms: <i >2</i> <br />floors: <i ></i> <br />energy grade: <i >a</i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1804711761.htm/"">leboncoin.fr</a> <br />",,meuble 2 pieces 48 m2,https://www.leboncoin.fr/locations/1804711761.htm/,,5,https://www.leboncoin.fr/
24,,,Appartement,,,"nancy 2 pieces 48.0 m2 proche du parc sainte marie, dans un immeuble calme, appartement avec jardin. comprenant entree, cuisine, sejour, chambre, salle de bains, wc. a visiter absolument ! assurance multirisques privilege *: 10.85 € / mois *services facultatifs, voir conditions en agences reference annonce : 1565076 honoraires a la charge du locataire : 528 € ttc dont 144 € pour l'etat des lieux depot de garantie : 510 € montant des charges : 30 € / mois modalite de recuperation des charges locatives : provision avec regularisation annuelle",,,2020-06-25T08:11:00,,,veterinary,"https://img3.leboncoin.fr/ad-large/4b2cadefbcd0b3198929d9a5cdc6eecfbae8332d.jpg, https://img7.leboncoin.fr/ad-large/c27644a45230369eddc93a2f2c1ca856e6e58af4.jpg, https://img5.leboncoin.fr/ad-large/760dfa39cc28fc7c28bc7e35a3b90adf8452e4bd.jpg, https://img0.leboncoin.fr/ad-large/4bdde822d67e61107895e9ffb0215d450565e517.jpg, https://img3.leboncoin.fr/ad-large/4b2cadefbcd0b3198929d9a5cdc6eecfbae8332d.jpg, https://img7.leboncoin.fr/ad-large/c27644a45230369eddc93a2f2c1ca856e6e58af4.jpg, https://img5.leboncoin.fr/ad-large/760dfa39cc28fc7c28bc7e35a3b90adf8452e4bd.jpg, https://img0.leboncoin.fr/ad-large/4bdde822d67e61107895e9ffb0215d450565e517.jpg, https://img3.leboncoin.fr/ad-large/4b2cadefbcd0b3198929d9a5cdc6eecfbae8332d.jpg",48,2020-06-25T08:11:00,48.6937223,5,nancy,6.1834097,,,,54000,540,,11.25,0,2,540,"price: <i >540</i> €<br />indoor area: <i >48</i> m²<br />outdoor area: <i >48</i> m²<br />rooms: <i >2</i> <br />floors: <i ></i> <br />energy grade: <i ></i> <br />value: <i >5</i> / 10<br />leverage: <i >5</i> / 10<br />age: <i >5</i> days<br />url: <a href=""https://www.leboncoin.fr/locations/1659586149.htm/"">leboncoin.fr</a> <br />",,appartement 2 pieces 48 m2,https://www.leboncoin.fr/locations/1659586149.htm/,,5,https://www.leboncoin.fr/
